Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Local Authority,Vehicle Number,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
61C1383,428934,429852,2,12/01/2019,1845,3,A653,1,4,1,E08000035,1,9,2,3,2,36
61C1383,428934,429852,2,12/01/2019,1845,3,A653,1,4,1,E08000035,2,9,1,3,1,45
61D1077,424551,433074,2,13/01/2019,1530,6,U,2,1,1,E08000035,2,1,1,2,2,37
61D1464,428628,433188,2,13/01/2019,1910,3,A58,1,4,1,E08000035,1,9,1,3,1,38
61E0235,420559,437109,2,14/01/2019,0744,3,A657,2,1,1,E08000035,1,9,1,3,2,40
61E0235,420559,437109,2,14/01/2019,0744,3,A657,2,1,1,E08000035,2,9,1,3,2,47
61E0807,422203,433911,1,16/01/2019,1331,4,B6155,1,1,1,E08000035,1,9,3,3,2,67
61E1326,430480,433823,1,14/01/2019,1730,6,U,1,4,1,E08000035,1,9,3,2,1,34
61E1647,419782,434064,2,14/01/2019,2020,3,A647,1,4,1,E08000035,2,9,1,3,1,26
61F0040,431120,430172,1,14/01/2019,2250,6,U,1,4,1,E08000035,1,8,2,3,2,23
61F0342,429482,431195,1,16/01/2019,0847,6,U,2,1,1,E08000035,1,9,3,3,2,10
61F1055,431908,437322,3,15/01/2019,1503,6,U,1,1,1,E08000035,1,9,1,3,2,27
61F1055,431908,437322,3,15/01/2019,1503,6,U,1,1,1,E08000035,3,9,1,3,2,64
61F1155,428513,433058,2,15/01/2019,1545,4,B6154,1,1,1,E08000035,2,9,1,3,2,29
61F1513,431131,431414,2,15/01/2019,1842,6,U,1,4,1,E08000035,1,9,1,2,1,35
61F1513,431131,431414,2,15/01/2019,1842,6,U,1,4,1,E08000035,2,9,1,2,1,72
61F1513,431131,431414,2,15/01/2019,1842,6,U,1,4,1,E08000035,2,9,2,2,2,73
61F1644,428249,434452,2,15/01/2019,1940,6,U,1,4,1,E08000035,1,9,2,3,2,33
61F1668,427457,435882,2,15/01/2019,1950,6,U,1,4,1,E08000035,2,9,1,3,1,20
61G0289,426144,437228,2,16/01/2019,0800,6,U,2,1,2,E08000035,1,9,1,3,2,38
61G0325,431269,445730,2,16/01/2019,0830,3,A659,1,1,1,E08000035,1,9,1,3,1,52
61G0325,431269,445730,2,16/01/2019,0830,3,A659,1,1,1,E08000035,2,9,1,3,1,60
61G1338,430088,431277,2,16/01/2019,1755,3,A653,1,4,1,E08000035,1,9,1,3,1,27
61G1474,430067,434407,2,16/01/2019,1907,2,A58(M),1,4,1,E08000035,2,9,1,3,2,28
61H1015,432212,434654,1,17/01/2019,1608,6,U,1,1,1,E08000035,1,9,3,3,1,11
61H1225,429203,433634,2,16/01/2019,2100,3,A58,1,7,1,E08000035,1,9,1,2,2,57
61H1302,434842,428545,2,17/01/2019,1818,6,U,1,4,1,E08000035,2,3,1,3,1,25
61I0299,428670,432833,1,18/01/2019,0815,6,U,2,1,1,E08000035,1,3,1,3,1,17
61I0315,426901,439315,2,18/01/2019,0829,3,A660,2,1,1,E08000035,2,1,1,3,1,35
61I0341,436909,433709,1,18/01/2019,0850,3,A6120,1,1,1,E08000035,1,9,3,2,1,81
61I1036,433450,434055,1,18/01/2019,1534,3,A64,1,1,1,E08000035,1,9,3,3,1,12
61I1506,431037,428655,1,18/01/2019,1910,6,U,2,4,3,E08000035,1,9,1,3,1,46
61I1984,442987,431602,1,18/01/2019,2355,3,A656,2,4,1,E08000035,1,9,1,2,1,30
61J0921,434471,434398,1,19/01/2019,1415,3,A64,2,1,1,E08000035,1,11,3,2,2,12
61J0998,420364,444894,1,19/01/2019,1450,6,U,2,1,8,E08000035,1,9,3,3,2,49
61J1143,426284,435584,2,19/01/2019,1616,3,A65,2,4,1,E08000035,1,9,1,3,2,72
61J1508,429902,436616,2,19/01/2019,1920,4,B6159,1,4,1,E08000035,2,9,1,3,1,76
61J1842,428969,435476,1,19/01/2019,2235,6,U,1,4,1,E08000035,1,9,3,2,2,27
61L0225,432961,429594,1,21/01/2019,0705,1,M1,2,4,1,E08000035,1,9,1,3,1,78
61L0311,431568,433623,5,21/01/2019,0839,3,A64,1,1,1,E08000035,4,9,1,3,1,56
61L0311,431568,433623,5,21/01/2019,0839,3,A64,1,1,1,E08000035,4,9,2,3,1,59
61L0651,425031,425763,2,21/01/2019,1210,6,U,2,1,1,E08000035,1,9,1,2,1,20
61L0651,425031,425763,2,21/01/2019,1210,6,U,2,1,1,E08000035,2,9,1,3,1,22
61L1015,430178,433925,1,21/01/2019,1515,6,U,1,1,1,E08000035,1,20,3,2,1,81
61L1638,434620,438143,1,21/01/2019,2024,3,A6120,2,4,1,E08000035,1,9,1,3,2,57
61M0231,425374,435317,1,22/01/2019,0725,6,U,4,4,1,E08000035,1,3,1,3,1,20
61M0505,429944,425105,1,22/01/2019,1105,6,U,1,1,1,E08000035,1,3,1,3,2,39
61M0884,431467,430207,2,22/01/2019,1450,6,U,1,1,1,E08000035,1,9,1,3,2,36
61M0965,432686,435009,1,22/01/2019,1528,6,U,1,1,1,E08000035,1,9,3,3,1,10
61M1029,440330,449423,2,22/01/2019,1600,4,B6164,1,1,1,E08000035,1,9,3,3,2,11
61M1203,427616,434515,2,22/01/2019,1555,3,A65,2,1,1,E08000035,1,3,1,3,1,34
61N0345,440756,445994,2,23/01/2019,0945,2,A1(M),1,1,1,E08000035,1,9,1,3,2,19
61N0345,440756,445994,2,23/01/2019,0945,2,A1(M),1,1,1,E08000035,2,9,1,3,1,42
61N0516,429085,430838,2,23/01/2019,1420,6,U,1,1,1,E08000035,2,1,1,3,1,32
61N0719,430266,433741,2,23/01/2019,1240,6,U,1,1,1,E08000035,2,11,2,3,2,30
61N0729,430241,437021,2,23/01/2019,1305,6,U,2,1,1,E08000035,1,9,1,3,1,74
61N0729,430241,437021,2,23/01/2019,1305,6,U,2,1,1,E08000035,2,9,2,3,2,23
61N0870,440388,433288,1,23/01/2019,1423,6,U,1,1,1,E08000035,1,9,3,1,2,70
61N1130,429224,439710,2,23/01/2019,1630,6,U,1,1,1,E08000035,2,9,1,3,2,51
61N1454,427536,434491,2,23/01/2019,1901,6,U,2,4,1,E08000035,1,1,1,1,1,46
61N1909,429958,432509,2,22/01/2019,2256,6,U,1,4,1,E08000035,1,9,1,3,1,24
61O0148,420465,440180,2,25/01/2019,0630,3,A658,2,4,1,E08000035,1,9,1,3,2,28
61O0148,420465,440180,2,25/01/2019,0630,3,A658,2,4,1,E08000035,2,8,1,3,1,38
61O0169,426361,433366,2,24/01/2019,0658,6,U,2,4,1,E08000035,1,9,1,3,1,44
61O0169,426361,433366,2,24/01/2019,0658,6,U,2,4,1,E08000035,2,9,1,3,2,34
61O0169,426361,433366,2,24/01/2019,0658,6,U,2,4,1,E08000035,2,9,2,3,1,12
61O0169,426361,433366,2,24/01/2019,0658,6,U,2,4,1,E08000035,2,9,2,3,2,8
61O0169,426361,433366,2,24/01/2019,0658,6,U,2,4,1,E08000035,2,9,2,3,2,5
61O0586,428963,435460,2,23/01/2019,2320,3,A660,1,4,1,E08000035,2,9,1,3,2,56
61O1189,431536,430548,3,24/01/2019,1707,1,M621,2,4,1,E08000035,1,9,1,3,2,22
61O1189,431536,430548,3,24/01/2019,1707,1,M621,2,4,1,E08000035,2,9,1,3,1,25
61O1383,427399,433352,1,24/01/2019,1831,6,U,2,4,2,E08000035,1,9,3,3,2,10
61P0260,429600,434248,1,25/01/2019,0733,6,U,1,6,1,E08000035,1,9,3,3,2,51
61P0284,426992,437455,2,25/01/2019,0751,3,A660,2,1,1,E08000035,2,1,1,3,2,31
61P0375,422310,443627,2,25/01/2019,0855,6,U,1,1,1,E08000035,1,9,1,2,2,28
61P0727,436590,433969,2,25/01/2019,1215,6,U,1,1,1,E08000035,2,9,1,3,1,48
61P0727,436590,433969,2,25/01/2019,1215,6,U,1,1,1,E08000035,2,9,2,3,2,46
61P0938,424562,435641,2,25/01/2019,1350,6,U,2,1,1,E08000035,2,1,1,3,1,17
61P1065,426347,427606,2,25/01/2019,1415,6,U,1,1,1,E08000035,2,1,1,3,1,60
61P1083,430743,434737,2,25/01/2019,1440,6,U,1,1,1,E08000035,1,1,1,2,1,33
61P1527,431726,432862,2,25/01/2019,1810,6,U,1,4,1,E08000035,2,9,1,3,1,45
61P1546,429774,430608,3,25/01/2019,1832,3,A653,2,4,1,E08000035,2,9,1,3,1,45
61P1546,429774,430608,3,25/01/2019,1832,3,A653,2,4,1,E08000035,3,9,1,3,2,21
61P1724,428523,432066,3,25/01/2019,1950,3,A643,2,4,1,E08000035,3,9,1,3,2,24
61P1871,430351,438561,2,25/01/2019,2105,3,A61,1,5,1,E08000035,2,9,1,3,2,54
61Q0322,430319,433871,2,26/01/2019,0450,6,U,1,4,1,E08000035,2,9,1,3,1,47
61Q0348,431103,434602,2,26/01/2019,0525,6,U,2,4,1,E08000035,1,9,1,3,1,30
61Q0348,431103,434602,2,26/01/2019,0525,6,U,2,4,1,E08000035,1,9,2,3,1,33
61Q0348,431103,434602,2,26/01/2019,0525,6,U,2,4,1,E08000035,1,9,2,3,2,32
61Q0348,431103,434602,2,26/01/2019,0525,6,U,2,4,1,E08000035,1,9,2,3,1,30
61Q0348,431103,434602,2,26/01/2019,0525,6,U,2,4,1,E08000035,1,9,2,3,2,32
61R0177,430101,432870,2,27/01/2019,0205,6,U,1,4,1,E08000035,2,9,1,3,1,47
61R1276,432458,433330,1,27/01/2019,1610,6,U,1,1,1,E08000035,1,8,2,3,2,24
61R1567,431832,434992,2,27/01/2019,0400,6,U,1,7,1,E08000035,1,9,2,3,2,19
61R1567,431832,434992,2,27/01/2019,0400,6,U,1,7,1,E08000035,1,9,2,3,2,18
61S0192,429038,429932,2,28/01/2019,0525,6,U,2,4,1,E08000035,2,5,1,2,1,53
61S0238,433318,441770,2,28/01/2019,0720,6,U,4,1,1,E08000035,1,9,1,3,2,22
61S0313,426234,438111,2,28/01/2019,0835,6,U,1,1,1,E08000035,1,9,1,3,1,52
61S0313,426234,438111,2,28/01/2019,0835,6,U,1,1,1,E08000035,2,9,1,3,2,40
61S0524,431422,434086,1,28/01/2019,1015,6,U,1,1,1,E08000035,1,9,3,3,1,15
61S1446,428503,426411,3,28/01/2019,1820,1,M62,1,4,1,E08000035,1,9,1,3,1,36
61S1446,428503,426411,3,28/01/2019,1820,1,M62,1,4,1,E08000035,2,9,1,3,1,22
61S1446,428503,426411,3,28/01/2019,1820,1,M62,1,4,1,E08000035,3,9,1,3,1,43
61S1539,428396,428922,2,28/01/2019,1520,3,A6110,1,1,1,E08000035,1,9,1,3,1,47
61S1877,431715,434630,1,28/01/2019,1600,6,U,1,1,1,E08000035,1,8,3,3,2,62
61T0506,442100,434633,2,29/01/2019,1045,3,A1,2,1,1,E08000035,2,1,1,2,1,74
61T1072,429144,432009,1,29/01/2019,1537,6,U,2,1,1,E08000035,1,9,3,3,2,4
61T1631,425353,435934,2,29/01/2019,2031,6,U,1,4,1,E08000035,2,9,1,3,2,35
61T1631,425353,435934,2,29/01/2019,2031,6,U,1,4,1,E08000035,2,9,3,3,2,42
61U0792,423620,440616,1,30/01/2019,0909,6,U,1,1,1,E08000035,1,9,3,3,2,39
61U0792,423620,440616,1,30/01/2019,0909,6,U,1,1,1,E08000035,1,9,3,3,1,44
61U1035,433087,435615,2,30/01/2019,1612,6,U,1,1,1,E08000035,2,22,1,3,2,11
61U1069,424127,428193,3,30/01/2019,1630,3,A62,1,1,1,E08000035,2,9,1,3,1,45
61U1079,430285,434323,3,30/01/2019,1630,2,A58(M),2,4,1,E08000035,3,9,1,3,1,28
61U1275,432052,425605,2,30/01/2019,1800,1,M1,2,4,1,E08000035,1,9,1,3,1,51
61V1358,420894,434451,2,31/01/2019,1145,3,A647,4,1,1,E08000035,1,9,1,3,2,39
6210373,417424,441806,2,01/02/2019,0900,6,U,3,1,3,E08000035,2,9,1,3,1,72
6210696,434169,436127,4,01/02/2019,1225,6,U,1,1,1,E08000035,1,9,1,3,1,29
6210696,434169,436127,4,01/02/2019,1225,6,U,1,1,1,E08000035,2,9,2,3,2,88
6211450,433113,434027,2,01/02/2019,1807,4,B6159,2,4,1,E08000035,1,9,2,3,2,22
6211469,428539,434634,2,31/01/2019,1900,6,U,1,4,1,E08000035,2,9,1,3,2,27
6220559,421481,434418,2,02/02/2019,1020,4,B6157,3,1,1,E08000035,1,9,1,3,1,35
6220569,431082,433729,2,02/02/2019,1033,2,A64(M),1,1,1,E08000035,1,9,2,1,2,77
6220569,431082,433729,2,02/02/2019,1033,2,A64(M),1,1,1,E08000035,1,9,2,3,2,51
6220569,431082,433729,2,02/02/2019,1033,2,A64(M),1,1,1,E08000035,1,9,1,3,1,71
6220595,426901,439315,2,02/02/2019,1050,6,U,1,1,1,E08000035,1,9,1,3,2,31
6220595,426901,439315,2,02/02/2019,1050,6,U,1,1,1,E08000035,2,9,1,3,1,42
6220919,426512,427195,2,01/02/2019,1230,6,U,1,1,1,E08000035,2,9,1,3,2,20
6220919,426512,427195,2,01/02/2019,1230,6,U,1,1,1,E08000035,2,9,2,3,2,30
6221139,425552,427914,2,02/02/2019,1552,3,A643,1,1,1,E08000035,1,9,2,3,2,33
6221250,427448,432585,1,02/02/2019,1640,6,U,2,1,1,E08000035,1,9,3,2,1,63
6221971,432631,434576,1,02/02/2019,2254,6,U,4,4,1,E08000035,1,9,3,3,1,43
6221994,426929,429269,3,02/02/2019,2305,3,A643,4,4,1,E08000035,1,9,2,2,1,21
6222008,429991,434152,2,02/02/2019,2314,6,U,2,4,1,E08000035,2,1,1,3,1,27
6230571,436022,434828,1,02/02/2019,2010,6,U,4,4,1,E08000035,1,9,3,2,1,16
6240642,430787,433346,2,04/02/2019,1203,3,A61,1,1,1,E08000035,1,8,1,3,1,62
6240642,430787,433346,2,04/02/2019,1203,3,A61,1,1,1,E08000035,1,8,2,3,2,45
6240642,430787,433346,2,04/02/2019,1203,3,A61,1,1,1,E08000035,2,9,1,3,1,50
6240642,430787,433346,2,04/02/2019,1203,3,A61,1,1,1,E08000035,2,9,2,3,2,2
6240869,430973,439006,3,04/02/2019,1350,6,U,1,1,1,E08000035,2,19,1,3,1,49
6241061,434451,436311,1,04/02/2019,1510,6,U,1,1,1,E08000035,1,9,3,3,1,11
6241182,441913,430132,2,04/02/2019,1600,6,U,2,1,1,E08000035,2,3,1,3,1,19
6241279,429148,431754,2,04/02/2019,1650,6,U,1,4,1,E08000035,2,9,2,3,1,1
6241426,433438,435500,1,04/02/2019,1750,6,U,2,4,1,E08000035,1,9,3,2,2,34
6241533,428926,433413,2,04/02/2019,1830,3,A58,1,4,1,E08000035,2,9,1,3,2,26
6250440,421304,445760,1,05/02/2019,0955,6,U,2,5,7,E08000035,1,9,1,3,2,31
6250788,434816,435321,2,04/02/2019,1450,6,U,1,1,1,E08000035,2,9,1,3,1,48
6250825,430445,433458,2,05/02/2019,1330,6,U,1,1,1,E08000035,2,19,2,3,1,39
6251463,427914,441536,2,05/02/2019,1825,6,U,2,6,2,E08000035,1,9,1,3,1,40
6251463,427914,441536,2,05/02/2019,1825,6,U,2,6,2,E08000035,2,9,1,3,2,23
6251755,427745,436450,1,05/02/2019,2046,3,A660,2,4,2,E08000035,1,9,3,2,1,21
6260051,429135,433853,1,06/02/2019,0045,6,U,2,4,2,E08000035,1,9,3,3,2,19
6260273,440866,428472,1,06/02/2019,0730,6,U,2,1,1,E08000035,1,9,3,2,1,8
6260339,429099,433513,2,06/02/2019,0530,6,U,1,4,1,E08000035,2,8,1,3,1,46
6261166,430469,437076,1,06/02/2019,1555,6,U,1,1,1,E08000035,1,19,3,3,2,51
6270196,429143,431739,1,07/02/2019,0648,6,U,2,4,5,E08000035,1,9,3,3,1,26
6281353,440472,448377,1,08/02/2019,1430,4,B6164,2,1,1,E08000035,1,9,3,3,2,58
6281459,434375,428565,2,08/02/2019,1700,6,U,2,4,2,E08000035,1,9,1,3,1,23
6281459,434375,428565,2,08/02/2019,1700,6,U,2,4,2,E08000035,1,9,2,3,2,44
6281646,430437,434393,2,08/02/2019,1830,6,U,1,4,4,E08000035,1,9,1,3,2,24
6281646,430437,434393,2,08/02/2019,1830,6,U,1,4,4,E08000035,1,9,2,3,1,14
6281646,430437,434393,2,08/02/2019,1830,6,U,1,4,4,E08000035,2,3,1,3,1,26
6281797,444752,432211,1,08/02/2019,1925,6,U,1,6,1,E08000035,1,3,1,2,1,15
6282173,430413,434264,2,08/02/2019,2245,6,U,1,4,1,E08000035,1,9,1,3,2,28
6290904,415909,442021,2,09/02/2019,1255,6,U,1,1,1,E08000035,1,9,2,1,1,52
6290904,415909,442021,2,09/02/2019,1255,6,U,1,1,1,E08000035,1,9,2,2,1,50
6290904,415909,442021,2,09/02/2019,1255,6,U,1,1,1,E08000035,2,9,1,3,1,47
6290922,428516,431824,5,09/02/2019,1308,3,A643,1,1,1,E08000035,1,9,1,3,2,32
6290922,428516,431824,5,09/02/2019,1308,3,A643,1,1,1,E08000035,2,9,1,3,2,48
6291204,423492,431856,1,09/02/2019,1600,6,U,2,1,1,E08000035,1,9,2,3,2,34
62A0475,427152,432517,2,04/02/2019,1330,6,U,2,1,1,E08000035,2,9,1,3,2,22
62A0475,427152,432517,2,04/02/2019,1330,6,U,2,1,1,E08000035,2,9,2,3,2,55
62A0482,426434,433300,2,29/01/2019,0757,6,U,2,4,1,E08000035,2,1,1,3,1,42
62A0503,431074,430365,2,03/03/2019,0935,6,U,1,1,1,E08000035,2,1,1,3,1,34
62A0650,440879,445707,1,10/02/2019,1140,3,A1,1,1,1,E08000035,1,4,1,2,2,54
62A1491,436017,436581,1,10/02/2019,1230,3,A64,2,1,1,E08000035,1,9,3,2,2,51
62B0330,425084,427379,3,11/02/2019,0902,3,A650,2,1,1,E08000035,1,3,1,1,1,17
62B0373,433114,434024,2,11/02/2019,0815,4,B6159,1,1,1,E08000035,1,9,1,3,1,46
62B0430,438952,431553,2,08/02/2019,0730,6,U,2,1,1,E08000035,2,3,1,3,1,50
62B0579,432428,426182,2,11/02/2019,1131,1,M1,1,1,1,E08000035,1,19,1,3,1,46
62B0579,432428,426182,2,11/02/2019,1131,1,M1,1,1,1,E08000035,2,21,1,3,1,46
62B1396,427271,437142,2,11/02/2019,1739,6,U,1,4,1,E08000035,2,1,1,3,1,43
62B1463,432180,434626,2,11/02/2019,1815,6,U,1,1,1,E08000035,2,1,1,3,1,27
62B1735,423025,437668,2,11/02/2019,2012,3,A6120,1,4,1,E08000035,1,8,1,3,1,36
62B1735,423025,437668,2,11/02/2019,2012,3,A6120,1,4,1,E08000035,2,8,1,3,1,32
62C0558,430788,433346,2,12/02/2019,1055,3,A61,1,1,1,E08000035,2,9,1,3,2,38
62C0723,427036,432779,1,12/02/2019,1218,6,U,1,1,1,E08000035,1,3,2,3,1,23
62C1410,437044,438288,2,12/02/2019,1745,6,U,1,4,1,E08000035,1,9,1,3,1,25
62D0260,429531,440826,2,13/02/2019,0709,6,U,1,1,1,E08000035,2,9,1,3,1,49
62D0937,430749,438894,2,13/02/2019,1418,6,U,1,1,1,E08000035,2,1,1,3,2,22
62D1456,431803,435597,1,13/02/2019,1730,3,A58,1,4,1,E08000035,1,9,3,3,2,42
62D1762,428438,435044,1,13/02/2019,2010,6,U,1,4,1,E08000035,1,9,3,3,1,62
62E0247,428961,429307,1,14/02/2019,0639,6,U,1,1,1,E08000035,1,9,1,3,1,26
62E0310,440557,426187,2,14/02/2019,0740,3,A639,1,1,1,E08000035,2,1,1,2,1,44
62E0789,428048,431116,2,14/02/2019,1225,6,U,1,1,1,E08000035,1,9,2,3,2,12
62E1219,433808,434630,1,14/02/2019,1640,6,U,1,1,1,E08000035,1,9,3,3,1,78
62F0580,430129,432175,2,15/02/2019,1136,6,U,1,1,1,E08000035,1,19,1,3,1,42
62F0580,430129,432175,2,15/02/2019,1136,6,U,1,1,1,E08000035,2,9,1,3,1,47
62F1194,428987,432348,3,15/02/2019,1821,6,U,1,1,1,E08000035,2,3,1,3,1,27
62F1536,428530,431241,2,15/02/2019,1745,6,U,1,1,1,E08000035,2,9,1,3,2,55
62F1838,432905,436748,2,15/02/2019,0730,6,U,1,7,1,E08000035,2,1,1,2,1,44
62G1577,429514,427230,1,16/02/2019,1745,6,U,1,4,1,E08000035,1,9,3,3,2,10
62G1577,429514,427230,1,16/02/2019,1745,6,U,1,4,1,E08000035,1,9,3,3,2,5
62H0170,418098,445930,1,17/02/2019,0149,3,A660,1,6,1,E08000035,1,9,1,3,1,20
62H0170,418098,445930,1,17/02/2019,0149,3,A660,1,6,1,E08000035,1,9,2,2,1,21
62H0591,432561,433800,2,17/02/2019,1041,3,A64,1,1,1,E08000035,1,9,1,3,2,45
62H0591,432561,433800,2,17/02/2019,1041,3,A64,1,1,1,E08000035,2,20,1,2,1,35
62H0791,431188,431464,3,17/02/2019,1300,6,U,1,1,1,E08000035,2,9,1,3,2,43
62H1281,428135,435423,2,17/02/2019,1100,6,U,1,1,1,E08000035,2,9,1,3,2,29
62I0197,436751,425924,1,18/02/2019,0445,1,M62,2,6,1,E08000035,1,9,1,3,2,32
62I0989,429063,435350,1,18/02/2019,1445,6,U,1,1,1,E08000035,1,5,3,2,2,19
62I1890,430797,433291,3,18/02/2019,2115,6,U,1,4,1,E08000035,3,1,1,3,1,22
62J0990,435222,438960,2,19/02/2019,1505,3,A58,1,1,1,E08000035,1,9,1,3,1,22
62J0990,435222,438960,2,19/02/2019,1505,3,A58,1,1,1,E08000035,1,9,2,3,2,19
62J0990,435222,438960,2,19/02/2019,1505,3,A58,1,1,1,E08000035,2,9,1,3,2,58
62J0990,435222,438960,2,19/02/2019,1505,3,A58,1,1,1,E08000035,2,9,2,3,1,82
62J1542,427479,436685,2,19/02/2019,1800,6,U,1,4,1,E08000035,2,9,1,3,1,35
62K0356,430358,424163,2,19/02/2019,1405,1,M1,1,1,1,E08000035,2,9,1,3,2,46
62K0500,429912,436614,1,20/02/2019,1113,6,U,1,1,1,E08000035,1,9,3,3,2,68
62K1318,428003,426413,2,20/02/2019,1814,1,M62,1,4,1,E08000035,2,9,1,3,2,33
62K1350,430478,435596,2,20/02/2019,1820,6,U,1,4,1,E08000035,2,1,1,3,1,17
62K1528,428795,435572,1,20/02/2019,2000,3,A660,1,4,1,E08000035,1,9,3,2,1,30
62L0267,431056,431252,1,21/02/2019,0619,6,U,1,1,1,E08000035,1,9,1,3,1,23
62L0629,432114,435381,2,21/02/2019,1121,4,B6159,1,1,1,E08000035,2,9,1,3,1,62
62L0885,425393,433052,1,21/02/2019,1334,6,U,1,1,1,E08000035,1,2,1,2,1,15
62L0923,426838,439912,1,21/02/2019,1349,6,U,1,1,1,E08000035,1,9,3,2,2,78
