Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
1,40,0,8,5,16.0
2,98,0,8,0,76.0
3,72,0,8,2,54.0
6,52,1,5,0,37.0
4,99,1,6,0,84.0
3,92,0,7,9,72.0
7,74,1,5,7,68.0
8,83,1,8,5,80.0
9,43,1,6,6,43.0
8,56,0,7,6,47.0
8,72,1,4,8,67.0
3,77,0,8,4,57.0
9,56,0,4,4,50.0
8,61,1,9,3,55.0
3,71,1,6,6,54.0
4,99,1,6,1,82.0
8,99,0,4,8,97.0
8,81,1,6,1,74.0
2,55,0,9,1,34.0
6,89,0,8,0,76.0
1,86,0,9,9,64.0
6,87,0,7,9,76.0
6,92,1,6,9,83.0
3,72,0,5,3,50.0
3,77,1,8,5,61.0
2,69,0,8,3,49.0
9,46,0,8,4,46.0
2,95,0,5,9,71.0
1,43,0,9,1,18.0
5,59,1,9,0,43.0
6,90,0,7,9,77.0
7,76,1,6,8,67.0
2,63,0,6,4,40.0
8,49,0,7,1,43.0
4,76,0,7,2,58.0
3,54,0,4,6,34.0
7,96,0,5,3,82.0
2,66,1,7,5,47.0
9,72,0,9,7,70.0
1,84,1,7,3,55.0
2,42,0,8,5,21.0
8,56,0,4,6,51.0
1,54,0,4,8,27.0
3,84,1,5,2,63.0
7,69,0,5,3,57.0
1,96,0,6,9,73.0
2,98,1,9,3,79.0
2,47,0,9,5,29.0
1,66,1,7,1,43.0
7,58,0,4,7,49.0
8,58,1,8,2,51.0
8,56,0,9,5,52.0
8,43,1,8,5,40.0
6,42,0,4,9,30.0
7,60,0,5,4,53.0
1,41,1,6,7,16.0
2,44,1,7,4,19.0
9,47,0,5,7,47.0
2,40,0,9,8,18.0
5,61,1,9,5,47.0
9,50,0,9,3,51.0
2,60,0,8,3,34.0
9,59,1,7,9,58.0
1,85,1,4,4,59.0
3,96,1,6,8,79.0
9,51,0,7,1,44.0
4,99,0,9,5,86.0
2,47,1,7,1,25.0
8,46,0,6,0,39.0
1,96,0,8,3,70.0
1,83,1,5,8,63.0
3,41,0,9,8,23.0
1,87,0,6,1,63.0
1,42,0,9,5,18.0
7,60,1,5,5,51.0
9,73,1,6,5,69.0
3,95,0,7,1,74.0
4,96,0,9,6,78.0
1,64,0,4,4,40.0
4,81,0,4,6,56.0
1,60,1,7,8,39.0
1,99,1,5,0,75.0
2,69,1,5,4,45.0
5,64,0,6,5,49.0
1,76,0,8,5,53.0
8,84,0,5,8,78.0
4,40,1,4,2,20.0
6,64,1,4,9,48.0
5,82,1,7,8,68.0
3,60,1,8,8,43.0
7,43,0,6,4,36.0
4,52,0,8,2,32.0
3,43,0,6,7,21.0
1,68,0,8,1,39.0
4,94,1,4,7,76.0
6,74,0,5,9,64.0
4,89,1,4,0,72.0
1,79,0,8,3,56.0
7,75,1,6,9,69.0
5,84,0,6,5,72.0
2,81,1,4,3,58.0
6,93,0,5,5,84.0
8,61,1,5,9,56.0
7,51,1,5,0,43.0
9,87,1,7,2,85.0
6,66,1,4,4,51.0
3,54,1,7,6,32.0
1,99,0,7,3,74.0
5,79,0,7,0,63.0
2,79,0,8,8,57.0
5,96,0,4,9,80.0
4,77,1,6,2,58.0
8,68,0,8,2,62.0
6,48,0,7,8,36.0
6,70,0,6,0,60.0
4,50,0,5,7,37.0
9,84,0,8,7,81.0
6,54,1,4,5,39.0
1,71,1,6,7,44.0
6,77,1,9,9,69.0
4,73,0,7,7,55.0
4,99,0,4,9,80.0
8,42,1,6,7,37.0
7,55,0,5,2,42.0
9,80,0,7,8,78.0
9,77,1,4,8,74.0
1,49,1,7,9,23.0
8,97,1,7,8,95.0
3,93,0,8,4,77.0
9,72,1,5,2,66.0
8,89,0,8,7,82.0
9,40,1,4,4,35.0
3,76,1,5,9,56.0
6,42,0,4,9,24.0
7,65,1,8,9,55.0
2,79,0,7,8,57.0
3,87,0,9,5,70.0
5,77,0,7,1,65.0
9,83,1,8,2,78.0
3,96,1,7,4,75.0
2,78,1,8,0,58.0
3,48,0,7,5,30.0
8,73,1,6,5,66.0
8,70,0,4,0,64.0
4,50,1,4,5,37.0
3,73,0,6,4,52.0
6,53,1,4,4,40.0
3,66,0,8,3,46.0
9,73,0,9,3,75.0
5,68,1,6,2,53.0
3,46,1,8,4,26.0
9,65,1,9,8,66.0
6,88,1,7,0,78.0
1,80,1,4,6,55.0
3,49,1,4,0,30.0
6,48,1,5,6,36.0
3,58,0,9,6,40.0
4,85,1,7,2,70.0
2,64,0,6,5,42.0
6,95,0,4,0,82.0
5,92,1,8,0,79.0
8,99,0,8,1,93.0
9,77,0,7,1,72.0
2,55,1,8,4,35.0
5,72,1,7,1,58.0
2,60,0,6,6,37.0
4,49,1,5,0,29.0
8,89,1,5,5,82.0
3,43,0,6,8,23.0
3,46,1,8,4,25.0
9,66,0,4,0,61.0
5,53,0,9,2,43.0
5,84,1,9,8,75.0
5,42,1,6,9,25.0
2,77,0,7,8,52.0
1,94,1,6,9,69.0
8,52,1,7,0,44.0
1,74,1,6,5,49.0
3,40,1,8,4,20.0
8,74,1,8,1,67.0
3,54,1,6,0,28.0
6,43,0,9,6,30.0
6,88,0,7,5,76.0
1,65,1,4,3,36.0
3,50,0,7,8,29.0
1,55,0,9,3,30.0
4,62,1,4,6,41.0
4,79,0,5,2,60.0
7,82,1,6,6,74.0
8,84,1,6,9,78.0
1,86,0,9,0,59.0
3,40,0,7,7,21.0
7,64,1,9,3,54.0
5,89,1,4,2,75.0
4,54,1,4,9,36.0
2,83,1,6,0,62.0
8,80,0,9,5,72.0
5,53,1,9,2,40.0
1,74,1,7,0,51.0
7,44,0,4,8,33.0
6,44,0,8,3,32.0
8,96,1,6,4,90.0
2,85,0,7,7,65.0
2,70,0,4,1,51.0
2,52,1,8,2,29.0
8,42,1,9,8,38.0
8,53,0,5,1,49.0
3,50,0,9,5,32.0
1,93,1,6,8,68.0
3,56,1,5,9,34.0
9,93,1,8,6,90.0
5,56,1,4,9,40.0
3,58,0,4,7,41.0
1,43,0,6,9,17.0
9,76,1,8,1,75.0
8,90,0,8,9,88.0
9,95,0,5,8,90.0
6,90,1,5,2,78.0
1,85,1,7,8,59.0
7,65,1,7,3,58.0
2,71,0,7,1,53.0
4,46,1,4,5,28.0
5,56,0,9,5,42.0
5,99,0,8,3,87.0
5,56,0,7,8,43.0
6,76,1,8,1,66.0
2,71,0,9,3,47.0
1,47,0,8,5,20.0
8,75,1,8,3,72.0
1,79,1,7,3,54.0
3,69,1,6,2,48.0
1,92,1,4,6,67.0
1,51,1,9,5,28.0
4,79,0,9,3,66.0
1,44,1,8,5,17.0
8,47,0,7,9,41.0
8,54,1,9,5,46.0
5,57,0,5,4,39.0
1,69,0,4,8,43.0
2,74,1,7,0,53.0
8,58,0,6,6,53.0
8,78,1,8,3,71.0
7,40,0,7,6,34.0
9,96,0,7,0,93.0
7,48,1,9,8,41.0
5,89,0,9,7,79.0
3,81,1,8,9,63.0
1,95,1,5,8,74.0
1,54,0,6,6,29.0
9,51,0,6,8,50.0
2,83,1,4,1,59.0
4,87,1,9,5,72.0
5,98,1,6,5,84.0
4,95,0,9,0,80.0
3,71,1,9,8,52.0
8,96,0,7,0,90.0
8,56,0,9,3,49.0
4,73,1,7,8,61.0
7,84,1,4,8,76.0
6,88,1,6,7,78.0
7,70,1,7,1,59.0
4,62,1,6,9,43.0
5,50,1,9,8,42.0
2,90,0,4,4,64.0
4,66,0,6,9,49.0
8,79,0,6,2,73.0
7,97,0,9,8,88.0
3,53,0,6,2,31.0
7,79,0,5,1,67.0
5,45,1,4,0,28.0
1,46,0,5,0,19.0
5,91,0,4,5,75.0
9,44,1,8,9,44.0
9,99,1,8,6,98.0
6,44,0,7,6,30.0
4,61,1,8,0,44.0
3,75,1,9,3,56.0
2,64,0,5,4,42.0
7,54,1,4,9,46.0
8,79,1,6,0,69.0
5,88,1,8,5,76.0
2,42,0,7,9,16.0
8,54,0,5,3,46.0
3,59,1,6,7,39.0
7,56,1,6,5,48.0
2,64,0,7,1,39.0
2,75,1,7,6,58.0
6,41,1,7,8,31.0
6,82,1,9,8,72.0
2,68,0,8,4,44.0
1,48,0,5,7,20.0
2,98,0,9,6,78.0
3,95,0,7,5,75.0
3,45,0,7,3,21.0
7,70,1,5,5,60.0
4,51,1,7,4,32.0
4,86,1,7,6,67.0
3,49,1,9,4,31.0
4,93,0,6,5,76.0
4,83,0,7,8,64.0
2,42,0,7,8,21.0
6,44,0,7,4,33.0
2,59,1,5,9,40.0
2,45,0,9,0,21.0
2,84,1,5,3,61.0
2,76,0,6,1,53.0
2,49,1,8,3,23.0
7,66,0,4,5,54.0
8,65,0,4,8,57.0
7,71,0,9,9,63.0
3,45,0,8,9,23.0
5,94,1,8,4,80.0
7,79,0,4,1,71.0
7,44,1,4,7,33.0
5,81,0,4,4,67.0
1,84,1,8,5,56.0
7,41,1,9,0,32.0
4,45,0,6,6,27.0
1,72,1,5,9,45.0
5,97,0,8,0,82.0
4,72,1,5,5,53.0
6,80,1,9,1,68.0
9,45,0,4,9,40.0
3,86,1,6,9,68.0
4,96,1,9,2,81.0
8,41,0,5,5,32.0
5,93,0,5,9,77.0
6,72,1,4,9,61.0
6,45,0,5,2,32.0
9,54,1,9,2,53.0
8,69,0,6,0,60.0
1,50,0,4,6,22.0
1,49,0,8,7,26.0
4,53,0,6,8,35.0
3,88,0,9,8,73.0
3,73,0,8,0,54.0
1,54,0,9,8,34.0
5,73,1,9,3,60.0
8,40,0,6,3,31.0
9,61,0,6,0,56.0
6,81,1,4,5,71.0
8,61,1,6,4,57.0
1,62,0,9,9,36.0
7,77,0,6,1,68.0
2,74,0,5,1,51.0
9,54,1,5,3,47.0
9,51,0,4,8,46.0
2,63,1,7,1,39.0
6,64,1,7,8,54.0
5,74,0,5,7,57.0
2,80,1,4,4,57.0
7,59,0,6,3,51.0
3,82,0,6,8,64.0
6,82,1,7,2,74.0
9,78,0,7,4,76.0
6,86,0,7,0,76.0
1,68,0,6,8,42.0
6,63,1,9,3,53.0
6,66,1,4,9,56.0
7,65,0,9,7,59.0
2,64,0,6,9,42.0
9,65,1,7,6,60.0
7,95,0,7,2,86.0
8,61,0,8,9,55.0
2,63,1,6,0,39.0
9,95,0,5,8,92.0
9,66,0,4,2,59.0
9,62,1,4,9,57.0
5,87,0,6,2,72.0
8,54,0,4,6,46.0
1,81,1,6,1,56.0
3,41,0,5,8,20.0
5,68,1,5,5,53.0
6,90,0,6,3,79.0
5,41,1,8,0,26.0
3,69,1,7,3,50.0
8,45,0,9,0,38.0
3,55,1,4,7,36.0
4,41,1,8,7,23.0
3,53,1,9,8,40.0
3,87,1,8,5,68.0
5,91,0,9,4,76.0
2,67,1,7,9,44.0
2,89,0,9,6,68.0
7,83,1,5,5,74.0
2,53,1,6,8,26.0
8,46,1,6,3,41.0
2,71,1,8,8,49.0
7,75,1,5,1,64.0
8,67,1,5,3,60.0
8,93,1,5,1,86.0
5,79,1,9,1,64.0
8,97,1,7,5,92.0
1,81,1,5,4,55.0
7,54,0,8,3,41.0
4,71,1,8,9,55.0
4,95,1,6,2,77.0
8,51,1,4,9,44.0
4,44,0,5,6,23.0
7,60,1,9,4,55.0
5,49,1,5,3,34.0
5,41,1,5,7,26.0
4,71,1,4,2,52.0
7,43,0,7,2,31.0
4,99,0,8,4,84.0
1,51,0,7,7,26.0
9,43,1,9,9,45.0
2,79,1,6,2,59.0
9,42,0,7,3,40.0
8,50,1,6,0,42.0
7,55,0,5,4,46.0
1,78,0,6,9,50.0
1,93,0,6,7,67.0
1,99,1,5,0,71.0
6,70,0,8,5,61.0
9,40,1,5,3,37.0
8,96,1,6,2,93.0
1,47,1,5,0,18.0
3,69,1,9,4,50.0
1,64,0,7,2,37.0
5,43,1,6,4,31.0
3,54,1,7,6,34.0
5,66,1,5,4,51.0
2,87,1,7,3,61.0
3,45,0,6,0,25.0
6,83,0,5,0,72.0
5,64,0,5,4,49.0
7,69,1,5,1,60.0
3,55,0,9,0,33.0
2,88,1,4,8,67.0
4,60,0,9,6,45.0
1,41,1,8,0,13.0
8,50,1,6,6,48.0
2,66,0,4,5,40.0
7,47,1,8,5,42.0
2,69,1,9,1,46.0
6,97,0,7,0,87.0
7,59,0,7,2,51.0
5,70,0,6,3,54.0
2,55,1,8,7,32.0
1,99,1,4,3,71.0
2,91,1,4,1,67.0
1,74,1,7,5,46.0
6,77,1,9,3,66.0
4,42,1,9,9,28.0
3,41,1,7,3,24.0
9,87,1,5,9,79.0
3,71,0,4,0,48.0
3,75,0,5,8,54.0
1,53,0,5,7,27.0
7,61,0,5,0,49.0
1,50,1,5,3,25.0
5,54,0,8,8,40.0
8,93,0,7,3,86.0
8,88,1,7,3,85.0
8,91,1,6,7,86.0
8,60,0,5,9,53.0
8,51,0,7,8,43.0
9,59,0,7,3,51.0
2,63,0,8,9,39.0
7,73,1,4,2,64.0
3,83,0,7,0,61.0
8,45,1,4,0,37.0
3,90,0,6,7,73.0
2,63,1,6,9,42.0
3,51,1,6,3,30.0
7,43,0,7,6,34.0
7,49,0,7,6,38.0
5,99,0,9,0,87.0
3,41,0,4,7,18.0
2,76,1,9,8,58.0
9,77,1,8,7,76.0
7,82,1,9,0,75.0
6,70,1,6,6,60.0
7,70,0,8,7,61.0
7,61,1,4,7,56.0
2,69,0,5,4,45.0
9,42,1,9,6,39.0
1,65,0,4,0,34.0
7,57,1,6,6,50.0
4,50,1,9,8,36.0
5,79,0,9,5,64.0
6,96,0,6,3,82.0
5,74,0,9,4,58.0
4,93,1,7,1,73.0
4,48,0,7,0,27.0
5,78,0,8,1,65.0
5,98,1,6,3,84.0
2,96,0,5,7,74.0
7,71,0,9,3,63.0
7,63,0,7,5,56.0
1,71,1,4,1,41.0
6,96,0,9,1,84.0
3,43,1,6,4,23.0
1,49,1,4,4,20.0
2,44,1,4,2,17.0
9,71,1,7,0,68.0
1,65,0,9,0,38.0
8,66,1,4,4,64.0
4,50,0,6,3,31.0
4,93,0,6,1,72.0
7,70,0,9,4,61.0
2,80,0,6,8,55.0
9,87,1,7,3,87.0
2,52,1,8,8,33.0
1,92,1,4,6,67.0
3,90,1,8,2,74.0
3,60,0,7,7,42.0
3,56,1,7,9,34.0
2,91,0,9,2,70.0
1,79,1,8,3,54.0
3,56,1,4,5,36.0
2,87,0,4,9,67.0
2,40,0,7,9,18.0
9,63,1,8,1,63.0
6,88,0,4,6,78.0
6,47,0,6,7,34.0
4,53,0,5,8,32.0
9,87,0,7,3,88.0
9,99,1,5,4,98.0
5,52,1,5,2,36.0
5,57,1,9,4,42.0
9,61,0,8,3,56.0
8,73,0,5,3,66.0
1,84,1,8,8,60.0
4,97,0,7,7,81.0
5,90,0,8,9,77.0
9,51,0,6,1,44.0
3,72,0,7,1,50.0
7,93,0,9,0,83.0
4,83,0,4,1,62.0
1,82,0,9,7,61.0
6,40,0,5,2,27.0
2,77,0,5,7,54.0
4,91,0,6,0,74.0
5,47,0,5,2,32.0
7,53,1,9,5,47.0
9,46,1,7,3,40.0
9,91,0,5,8,86.0
7,69,1,5,8,60.0
4,46,0,5,0,27.0
8,79,1,8,4,75.0
1,53,1,6,1,24.0
9,96,0,9,3,95.0
8,87,0,4,0,79.0
9,86,1,8,8,82.0
6,47,1,4,6,35.0
8,66,0,6,8,56.0
3,73,0,5,5,52.0
8,56,0,6,7,49.0
4,73,0,7,9,54.0
8,52,0,6,1,44.0
2,52,0,5,4,24.0
9,93,1,7,9,93.0
5,90,1,8,5,77.0
4,68,0,8,8,52.0
7,50,0,6,9,41.0
7,97,1,9,4,89.0
5,81,0,6,8,66.0
2,40,0,4,4,20.0
1,99,0,8,1,75.0
1,92,1,7,7,69.0
9,78,1,8,2,76.0
1,98,1,5,2,72.0
8,91,0,9,8,88.0
2,92,0,8,2,67.0
6,87,1,9,2,78.0
3,43,1,7,2,21.0
3,67,1,6,0,48.0
3,62,1,8,9,45.0
1,85,0,9,6,60.0
3,47,0,7,1,23.0
8,62,0,9,7,57.0
4,47,0,4,6,24.0
5,55,0,4,6,40.0
8,95,0,7,8,89.0
4,65,0,5,9,49.0
9,40,1,8,9,39.0
3,65,1,8,0,45.0
9,44,1,8,9,42.0
9,75,1,4,7,73.0
7,99,0,7,3,93.0
7,77,0,5,3,66.0
5,51,1,7,1,36.0
1,84,0,8,1,61.0
3,72,1,9,7,55.0
1,71,1,6,6,46.0
2,69,1,8,6,48.0
8,82,1,5,3,76.0
5,56,0,5,8,41.0
4,84,0,5,2,63.0
1,42,1,6,0,17.0
7,91,0,4,3,82.0
8,81,1,5,7,76.0
4,61,1,5,9,47.0
3,88,0,9,0,73.0
1,61,1,8,6,39.0
5,40,1,7,5,26.0
7,80,1,9,5,72.0
3,94,0,4,7,76.0
9,43,0,4,6,39.0
8,65,0,8,7,61.0
2,72,1,8,3,50.0
4,46,1,9,0,32.0
2,87,1,6,5,61.0
5,77,1,9,6,69.0
7,45,1,7,2,36.0
7,62,1,9,2,56.0
6,55,0,7,1,41.0
7,93,1,6,4,86.0
7,75,0,7,1,66.0
5,50,1,4,3,34.0
6,65,1,5,9,53.0
3,82,0,5,8,63.0
1,85,1,5,2,58.0
6,62,1,5,0,46.0
5,71,0,5,6,55.0
9,58,0,8,7,59.0
9,77,0,7,0,72.0
6,94,0,5,0,83.0
8,47,0,7,1,36.0
3,75,1,4,1,56.0
8,77,1,6,4,71.0
1,87,0,5,0,61.0
8,61,0,8,0,56.0
4,44,1,6,5,27.0
9,47,0,4,0,41.0
3,58,0,8,6,40.0
5,81,0,4,6,67.0
1,44,0,9,9,16.0
6,43,0,8,6,29.0
5,82,0,8,9,67.0
4,44,1,8,1,26.0
2,70,1,6,3,47.0
2,78,0,9,3,54.0
3,56,1,4,8,37.0
1,67,1,7,7,41.0
2,48,1,9,1,23.0
6,49,1,7,7,38.0
2,49,1,5,7,25.0
7,85,1,8,8,78.0
1,60,0,7,5,36.0
4,55,1,7,8,39.0
2,64,1,6,5,41.0
1,79,1,7,7,51.0
4,67,1,6,2,51.0
4,61,0,6,6,42.0
2,61,1,8,2,40.0
1,91,0,6,0,61.0
6,89,0,4,2,74.0
1,51,0,8,9,28.0
1,54,1,5,4,26.0
3,87,1,7,5,72.0
6,68,1,8,7,54.0
3,70,0,5,4,48.0
8,42,0,8,4,36.0
4,52,1,9,2,36.0
1,91,0,4,3,64.0
7,54,0,6,7,44.0
9,59,1,8,9,56.0
8,58,0,5,3,50.0
1,51,1,8,0,26.0
6,98,1,6,2,87.0
9,49,0,6,4,47.0
8,78,0,6,4,71.0
7,65,1,9,4,58.0
2,66,0,7,4,43.0
2,45,1,4,4,21.0
6,61,1,5,9,49.0
2,62,0,5,0,42.0
1,58,0,7,4,33.0
8,72,1,7,6,67.0
9,40,0,8,2,39.0
3,46,0,7,7,26.0
4,80,0,9,6,64.0
3,98,1,5,2,80.0
4,80,0,5,3,68.0
7,56,0,4,5,46.0
3,67,1,7,4,49.0
7,49,0,9,1,40.0
3,71,0,5,1,50.0
1,47,0,8,9,24.0
4,66,0,4,5,49.0
6,59,1,8,1,51.0
9,97,1,6,2,93.0
7,72,1,5,8,63.0
4,40,0,5,1,22.0
6,84,0,6,6,75.0
4,92,0,4,8,73.0
8,56,1,6,1,46.0
5,80,1,6,7,64.0
4,40,0,6,2,18.0
4,43,0,7,1,25.0
9,78,0,4,3,76.0
8,46,0,9,5,41.0
7,71,0,8,2,62.0
7,41,0,4,5,31.0
3,54,0,8,3,36.0
3,79,1,4,3,57.0
1,83,0,8,5,57.0
6,82,1,9,3,71.0
8,67,1,5,8,61.0
5,54,1,6,8,38.0
6,48,0,8,2,36.0
9,81,1,7,3,78.0
1,86,0,6,6,61.0
4,98,1,9,6,83.0
3,63,0,8,8,42.0
3,99,0,6,6,79.0
3,85,0,6,0,60.0
7,61,0,8,0,53.0
3,65,0,5,8,42.0
7,63,0,6,1,54.0
6,69,0,9,4,58.0
7,46,1,5,2,36.0
5,44,0,7,1,30.0
8,86,0,4,0,78.0
9,73,0,7,0,72.0
9,82,0,5,8,80.0
9,95,0,6,0,90.0
1,83,0,7,0,54.0
4,80,0,7,8,69.0
9,58,1,7,3,51.0
6,89,1,7,6,79.0
1,95,0,8,3,71.0
4,89,0,6,7,71.0
8,45,1,4,7,39.0
2,43,0,9,8,23.0
1,76,1,9,4,56.0
1,85,1,6,9,62.0
4,49,0,8,4,34.0
2,61,0,8,7,40.0
7,91,0,4,3,83.0
2,80,0,8,8,58.0
2,81,1,6,9,59.0
5,69,0,8,1,57.0
4,42,1,5,7,27.0
3,48,0,6,9,30.0
6,81,0,9,9,75.0
1,83,0,7,4,60.0
6,99,1,8,3,91.0
4,45,0,4,9,27.0
5,40,1,8,6,28.0
9,96,1,7,4,95.0
8,46,0,6,0,40.0
4,57,1,7,2,40.0
7,74,0,8,9,66.0
3,57,0,4,5,32.0
3,62,1,6,6,44.0
3,95,0,9,0,76.0
5,87,0,9,7,73.0
4,72,1,7,0,54.0
7,96,0,5,3,84.0
9,57,1,5,7,56.0
2,70,1,7,3,48.0
1,47,1,8,9,25.0
1,68,0,4,4,40.0
3,45,1,9,2,26.0
1,75,1,4,1,46.0
1,60,1,9,5,37.0
8,64,0,5,1,57.0
8,42,1,7,8,38.0
5,60,0,6,9,44.0
5,57,1,9,2,43.0
2,72,1,6,9,47.0
9,83,1,4,3,79.0
5,43,0,7,7,26.0
4,43,0,7,6,27.0
2,97,0,6,7,74.0
1,62,0,7,1,36.0
5,95,0,6,7,81.0
6,47,0,9,8,36.0
7,70,1,4,2,60.0
9,58,1,4,2,54.0
5,88,0,5,8,76.0
7,65,0,8,0,55.0
5,44,0,9,9,29.0
4,53,0,8,2,34.0
8,74,1,4,5,67.0
5,44,1,5,3,27.0
4,86,0,8,9,71.0
1,43,0,9,0,15.0
8,54,1,8,4,52.0
9,57,0,8,9,55.0
8,81,1,9,3,77.0
7,41,0,9,7,37.0
5,43,0,6,0,30.0
3,45,0,9,5,26.0
7,80,0,8,0,71.0
1,57,0,7,6,31.0
6,75,0,4,6,63.0
5,78,0,6,4,61.0
6,77,0,4,7,66.0
6,42,0,8,6,27.0
4,96,0,7,9,80.0
6,56,0,9,8,47.0
1,52,0,8,3,24.0
6,70,0,6,8,62.0
9,82,0,7,8,81.0
1,93,1,5,8,68.0
1,53,1,9,6,30.0
7,65,1,6,3,55.0
9,70,1,4,6,64.0
2,47,1,4,3,24.0
5,46,0,4,6,31.0
9,99,0,5,6,96.0
5,98,0,9,5,87.0
1,95,1,6,6,73.0
2,58,0,8,4,34.0
3,65,1,4,0,44.0
8,94,0,9,1,90.0
4,49,0,7,7,32.0
8,64,0,6,8,60.0
8,75,1,6,1,71.0
8,73,0,4,6,64.0
3,63,1,9,9,45.0
2,43,1,7,8,21.0
5,43,0,9,7,35.0
3,56,1,7,6,34.0
7,55,1,7,5,50.0
7,65,1,4,4,58.0
1,68,1,5,8,40.0
8,81,0,5,2,76.0
6,62,0,4,6,50.0
1,95,0,6,1,70.0
9,73,0,8,7,68.0
5,47,0,7,9,34.0
8,91,0,4,5,84.0
7,90,1,7,2,83.0
9,54,1,4,7,53.0
5,72,0,9,9,60.0
9,98,1,9,1,98.0
9,41,1,4,9,39.0
7,58,0,8,8,48.0
8,91,0,6,9,89.0
8,92,0,5,3,84.0
2,72,0,4,1,50.0
2,48,1,8,3,23.0
3,99,1,6,8,80.0
9,92,1,9,5,87.0
8,58,1,5,3,51.0
1,57,1,6,1,35.0
1,80,0,4,0,55.0
1,80,1,6,8,55.0
8,70,1,7,5,68.0
8,80,1,4,5,71.0
6,72,1,7,5,60.0
7,75,0,8,5,66.0
7,86,1,5,4,74.0
9,58,1,8,9,58.0
8,54,0,9,7,57.0
2,96,1,7,8,77.0
5,96,0,6,2,81.0
8,48,1,7,8,44.0
8,92,1,5,5,85.0
9,47,1,9,1,47.0
9,52,0,4,2,51.0
6,73,1,9,6,65.0
3,89,0,9,3,69.0
5,99,0,4,9,83.0
7,59,1,8,6,49.0
5,55,0,6,6,42.0
4,58,0,6,9,37.0
5,96,0,8,0,81.0
1,65,1,4,1,37.0
5,42,1,8,9,29.0
6,59,0,8,2,49.0
7,78,0,6,2,72.0
5,92,1,4,6,76.0
2,81,0,4,9,62.0
6,93,0,7,0,82.0
6,84,1,7,4,70.0
8,88,1,5,2,82.0
5,93,0,7,5,80.0
4,91,0,8,0,73.0
2,54,1,4,7,29.0
5,46,0,5,9,33.0
2,86,1,4,3,61.0
8,78,1,5,5,72.0
2,76,1,8,8,51.0
7,64,0,6,3,56.0
7,94,0,4,2,81.0
7,64,1,8,5,58.0
1,54,1,4,8,30.0
9,46,1,4,4,44.0
2,56,0,8,9,33.0
7,92,0,9,7,86.0
6,66,1,5,9,59.0
3,95,1,4,2,73.0
8,40,0,8,6,34.0
8,72,1,8,7,64.0
3,86,1,4,5,65.0
4,74,0,7,4,57.0
7,47,1,7,9,39.0
3,63,1,9,8,46.0
8,60,1,7,9,55.0
6,77,1,9,8,68.0
7,51,1,6,7,40.0
7,48,1,5,5,38.0
3,85,1,6,3,68.0
3,55,1,9,6,36.0
9,51,0,8,3,48.0
5,42,1,8,8,31.0
7,97,1,5,2,84.0
5,48,0,6,4,33.0
5,81,0,8,8,70.0
1,53,0,6,3,26.0
