State,Started on,Completed,Time taken,Grade/10.00,Q. 1 /0.63,Q. 2 /0.63,Q. 3 /0.63,Q. 4 /0.63,Q. 5 /0.63,Q. 6 /0.63,Q. 7 /0.63,Q. 8 /0.63,Q. 9 /0.63,Q. 10 /0.63,Q. 11 /0.63,Q. 12 /0.63,Q. 13 /0.63,Q. 14 /0.63,Q. 15 /0.63,Q. 16 /0.63
Finished,17/10/2023 19:51,17/10/2023 20:23,31 mins 19 secs,9.69,0.63,0.63,0.47,0.63,0.63,0.63,0.63,0.63,0.63,0.47,0.63,0.63,0.63,0.63,0.63,0.63
Finished,17/10/2023 20:00,17/10/2023 20:20,19 mins 37 secs,5.16,0.63,0.63,0.47,0.63,0.63,0.63,0,0,0,0.63,0.63,0,0,0,0.31,0
Finished,17/10/2023 20:08,17/10/2023 20:35,26 mins 32 secs,9.38,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0
Finished,17/10/2023 20:10,17/10/2023 20:47,37 mins,9.22,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.47,0.63,0.63,0.63,0.63,0,0.63
Finished,17/10/2023 20:14,17/10/2023 20:43,29 mins 54 secs,8.28,0.31,0.63,0.63,0.63,0.63,0.63,0,0,0.63,0.47,0.63,0.63,0.63,0.63,0.63,0.63
Finished,17/10/2023 20:15,17/10/2023 20:28,12 mins 45 secs,7.03,0.63,0.63,0.47,0.63,0,0.63,0,0,0.63,0.63,0.63,0.63,0.63,0.63,0.31,0
Finished,17/10/2023 20:16,17/10/2023 20:34,17 mins 55 secs,5.16,0.63,0.63,0.31,0.63,0,0,0,0,0,0.47,0.63,0,0.63,0.63,0.63,0
Finished,17/10/2023 20:20,17/10/2023 20:35,14 mins 55 secs,7.66,0.31,0.63,0.63,0.31,0.63,0.63,0.63,0,0.63,0.47,0.31,0.63,0.63,0.63,0.63,0
Finished,17/10/2023 20:24,17/10/2023 20:30,6 mins 39 secs,7.66,0.31,0.63,0.16,0.31,0.63,0,0.63,0.63,0.63,0.31,0.31,0.63,0.63,0.63,0.63,0.63
Finished,17/10/2023 20:31,17/10/2023 21:11,39 mins 38 secs,7.66,0.31,0.63,0.47,0.63,0.63,0.63,0.63,0,0.63,0.63,0.63,0,0.63,0,0.63,0.63
Never submitted,17/10/2023 20:34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Finished,17/10/2023 20:54,17/10/2023 21:21,26 mins 58 secs,8.44,0.31,0.63,0.63,0.63,0.63,0.63,0,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0
Finished,17/10/2023 20:56,17/10/2023 21:14,18 mins 8 secs,8.59,0.63,0.63,0.47,0.63,0.63,0.63,0,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0
Finished,17/10/2023 21:07,17/10/2023 21:27,20 mins 16 secs,9.06,0.63,0.63,0.31,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0
Finished,17/10/2023 21:07,17/10/2023 21:22,15 mins 47 secs,7.97,0.63,0.63,0.63,0.63,0.63,0.63,0,0,0.63,0.47,0.63,0.63,0.63,0.63,0.63,0
Finished,17/10/2023 21:16,17/10/2023 23:23,2 hours 7 mins,7.81,0.31,0.63,0.63,0.63,0.63,0.63,0.63,0,0.63,0.63,0,0.63,0.63,0.63,-,0.63
Finished,17/10/2023 21:18,17/10/2023 21:31,12 mins 39 secs,8.59,0.63,0.63,0.47,0.63,0.63,0.63,0.63,0,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0
Finished,17/10/2023 21:25,17/10/2023 21:47,21 mins 24 secs,5.94,0.31,0,0.31,0.63,0,0.63,0,0,0.63,0.31,0.63,0.63,0.63,0.63,0.63,0
Finished,17/10/2023 21:28,17/10/2023 21:57,28 mins 4 secs,7.03,0.31,0.63,0.63,0.31,0.63,0.63,0,0,0.63,0.47,0.63,0.63,0.63,0.63,0.31,0
Finished,17/10/2023 22:06,17/10/2023 22:13,7 mins 9 secs,4.38,0.31,0,0.47,0.31,0.63,0,0,0,0.63,0.47,0.31,0,0.63,0,0.63,0
Finished,17/10/2023 22:10,17/10/2023 22:29,19 mins 6 secs,8.75,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0,0.63,0.31,0.31,0.63,0.63,0.63,0.63,0.63
Finished,17/10/2023 22:33,17/10/2023 23:15,42 mins 5 secs,9.84,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.47,0.63,0.63,0.63,0.63,0.63,0.63
Finished,17/10/2023 22:34,17/10/2023 22:58,23 mins 45 secs,9.84,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.47,0.63,0.63,0.63,0.63,0.63,0.63
Finished,17/10/2023 23:05,17/10/2023 23:16,11 mins 4 secs,6.88,0.31,0.63,0.47,0.63,0.63,0.63,0.63,0,0.63,0.16,0.31,0,0,0.63,0.63,0.63
Never submitted,17/10/2023 23:16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Finished,17/10/2023 23:18,17/10/2023 23:35,17 mins 9 secs,10,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
Finished,17/10/2023 23:29,17/10/2023 23:42,12 mins 35 secs,4.22,0.31,0,0.47,0.31,0,0.63,0,0,0.63,0.63,0,0,0.63,0,0.63,0
Finished,17/10/2023 23:35,17/10/2023 23:35,13 secs,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Finished,17/10/2023 23:57,18/10/2023 0:16,19 mins 51 secs,9.38,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
Finished,18/10/2023 1:02,18/10/2023 1:06,3 mins 37 secs,8.75,0.63,0.63,0.47,0.63,0.63,0.63,0.63,0.63,0.63,0.47,0.63,0.63,0.63,0.63,0.31,0
Finished,18/10/2023 1:12,18/10/2023 1:31,18 mins 12 secs,8.91,0.63,0.63,0.47,0.63,0.63,0.63,0.63,0.63,0.63,0.31,0,0.63,0.63,0.63,0.63,0.63
Finished,18/10/2023 2:14,18/10/2023 2:34,20 mins 15 secs,7.97,0.63,0.63,0.47,0.63,0,0,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0,0.63,0.63
Finished,18/10/2023 6:14,18/10/2023 6:22,7 mins 58 secs,9.38,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0
